Title;Artist;Album;Track;Genre;Year;Length;Filename;
But Beautiful;Freddie Hubbard;Open Sesame (1960);02/8;Jazz;1960;387;Freddie Hubbard - 02 - But Beautiful.mp3;
Unforgettable;French Montana, Swae Lee;100 Greatest Modern Pop Songs;53;Pop;2020;234;French Montana, Swae Lee - 53 - Unforgettable.mp3;
We Are Young (feat. Janelle Monáe);fun., Janelle Monae;100 Greatest Modern Pop Songs;55;Pop;2020;251;fun., Janelle Monae - 55 - We Are Young (feat. Janelle Monáe).mp3;
Beethoven - Symphony #4 in B Flat, Op. 60 - III. Menuetto;Furtwangler;Beethoven Symphony #4 in B Flat, Op. 60;15/8;Classical;2001;362;Furtwangler - 15 - Beethoven - Symphony #4 in B Flat, Op. 60 - III. Menuetto.mp3;
Fuel (Original Mix);Ganga;Chill out Magnifique, Vol. 2;18;Electronic Chill;2019-11-22;289;Ganga - 18 - Fuel (Original Mix).mp3;
Walkin';Gene Ammons;(1962) Boss Tenors In Orbit! ( & Sonny Stitt);02;Jazz;1962;324;Gene Ammons - 02 - Walkin'.mp3;
Exactly Like You;Gene Harris;The Ray Brown Trio - Soular Energy;01/8;Jazz Piano;1984;349;Gene Harris - 01 - Exactly Like You.mp3;
Nagasaki;Gene Krupa;(1938) - Chronological Gene Krupa;2/22;Swing;1938;147;Gene Krupa - 02 - Nagasaki.mp3;
I'm Gonna Clap My Hands;Gene Krupa;(1935-38) - Chronological Gene Krupa;7/23;Swing;1936;180;Gene Krupa - 07 - I'm Gonna Clap My Hands.mp3;
“Murder,” He Says;Gene Krupa;(1941-42) Roy Eldridge with Gene Krupa and Anita O'Day - Uptown;16;Swing;1942;201;Gene Krupa - 16 - “Murder,” He Says.mp3;
Blame It on Me;George Ezra;100 Greatest Modern Pop Songs;32;Soft Rock;2020;196;George Ezra - 32 - Blame It on Me.mp3;
Wah Wah;George Harrison;All Things Must Pass (disc 1);3/14;Rock;1970;338;George Harrison - 03 - Wah Wah.mp3;
If Not For You;George Harrison;All Things Must Pass (disc 1);6/14;Soft Rock;1970;213;George Harrison - 06 - If Not For You.mp3;
Bernie'S Tune;Gerry Mulligan;(1952) Original Quartet with Chat Baker;1/27;Jazz Piano;1952;173;Gerry Mulligan - 01 - Bernie'S Tune.mp3;
People Will Say We're in Love;Gerry Mulligan;(1957) Gerry Mulligen and Chet Baker;01;Jazz;1957;224;Gerry Mulligan - 01 - People Will Say We're in Love.mp3;
Reunion;Gerry Mulligan;(1957) Gerry Mulligen and Chet Baker;02;Jazz;1957;248;Gerry Mulligan - 02 - Reunion.mp3;
Help Me Make It Through The Night;Gladys Knight & The Pips ;The Ultimate Collection Soul 100 Hits CD01;14;Soul;2008;261;Gladys Knight & The Pips  - 14 - Help Me Make It Through The Night.mp3;
King Porter Stomp;Glenn Miller;The Complete Glenn Miller 1938-1942 Disc 01;03;Swing;1938;210;Glenn Miller - 03 - King Porter Stomp.mp3;
(Gotta Get Some) Shut-eye;Glenn Miller;The Complete Glenn Miller 1938-1942 Disc 01;04;Swing;1938;161;Glenn Miller - 04 - (Gotta Get Some) Shut-eye.mp3;
How I'd Like To Be With You In Bermuda;Glenn Miller;The Complete Glenn Miller 1938-1942 Disc 01;05;Swing;1938;157;Glenn Miller - 05 - How I'd Like To Be With You In Bermuda.mp3;
Never Can Say Goodbye;Gloria Gaynor ;The Ultimate Collection Soul 100 Hits CD05;2;Soul;2008;179;Gloria Gaynor  - 02 - Never Can Say Goodbye.mp3;
Love Walked In;Grant Green;Standards;02/8;Jazz;1961;395;Grant Green - 02 - Love Walked In.mp3;
If I Had You;Grant Green;Standards;03/8;Jazz;1961;431;Grant Green - 03 - If I Had You.mp3;
Wharf Rat;Grateful Dead;Grateful Dead (1971);10/11;Soft Rock;1971;511;Grateful Dead - 10 - Wharf Rat.mp3;
Handle It;Grim;East Side Gangsters 4;11/15;Hip Hop;2007;232;Grim - 11 - Handle It.mp3;
Workout;Hank Mobley;Workout (1961);01/6;Jazz;1961;604;Hank Mobley - 01 - Workout.mp3;
If You Don't know Me By Now;Harold Melvin & The Blue Notes ;The Ultimate Collection Soul 100 Hits CD02;2;Soul;2008;202;Harold Melvin & The Blue Notes  - 02 - If You Don't know Me By Now.mp3;
I've Heard That Song Before;Harry James;(1938-47) The Hits of Harry James - Disc 1;02;Swing;1942;180;Harry James - 02 - I've Heard That Song Before.mp3;
Back Beat Boogie;Harry James;(1938-47) The Hits of Harry James - Disc 1;03;Swing;1939;169;Harry James - 03 - Back Beat Boogie.mp3;
Sharp As A Tack;Harry James;(1938-47) The Hits of Harry James - Disc 2;23;Swing;1941;198;Harry James - 23 - Sharp As A Tack.mp3;
9:20 Special;Harry James;(1938-47) The Hits of Harry James - Disc 2;24;Swing;1945;171;Harry James - 24 - 920 Special.mp3;
Easy Does It;Harry Sweet Edison;(1955) Buddy and Sweets with Buddy Rich;02/7;Jazz;1955;500;Harry Sweet Edison - 02 - Easy Does It.mp3;
All Sweets;Harry Sweet Edison;(1955) Buddy and Sweets with Buddy Rich;03/7;Jazz;1955;133;Harry Sweet Edison - 03 - All Sweets.mp3;
blues for the blues;Harry Sweet Edison, Ben Webster;(1957) Gee, Baby - with Ben Webster;01;Jazz;1957;289;Harry Sweet Edison, Ben Webster - 01 - blues for the blues.mp3;
moonlight in vermont;Harry Sweet Edison, Ben Webster;(1957) Gee, Baby - with Ben Webster;03;Jazz;1957;237;Harry Sweet Edison, Ben Webster - 03 - moonlight in vermont.mp3;
Vivaldi - Sonate op. 2 Nr. 2 A-dur - 2. Capriccio;Heifetz;Vivaldi - Sonate op. 2 Nr. 2 A-dur (Heifetz);2;Classical;1934;45;Heifetz - 02 - Vivaldi - Sonate op. 2 Nr. 2 A-dur - 2. Capriccio.mp3;
Saint-Saens - Introduction & Rondo Capriccioso;Heifetz;Heifetz Showpieces (1949-1951);11;Classical;1951;506;Heifetz - 11 - Saint-Saens - Introduction & Rondo Capriccioso.mp3;
Saint-Saens - Le cygne (Swan);Heifetz;Heifetz Showpieces (1965,1967);11;Classical;1965;138;Heifetz - 11 - Saint-Saens - Le cygne (Swan).mp3;
Brahms - Piano Quartet Op.60 - 1 Allegro ma non troppo;Heifetz, Piatigorsky;Brahms - Piano Quartet in C minor, Op.60 (Heifetz, Piatigorsky);01;Classical;1965;540;Heifetz, Piatigorsky - 01 - Brahms - Piano Quartet Op.60 - 1 Allegro ma non troppo.mp3;
Spohr - Double Quartet, Op.65 D in D Minor - 1 Allegro;Heifetz, Piatigorsky;Spohr - Double Quartet, Op.65 D in D Minor (Heifetz, Piatigorsky);01;Classical;1968;552;Heifetz, Piatigorsky - 01 - Spohr - Double Quartet, Op.65 D in D Minor - 1 Allegro.mp3;
I Cover the Waterfront (90);Henry Red Allen;(1957) World on a String (with Coleman Hawkins);04/11;Jazz;1957;507;Henry Red Allen - 04 - I Cover the Waterfront (90).mp3;
Mozart - Concert No.7 in D major Kv.271a - 1, Allegro maestoso;Henryk Szeryng;Mozart - Concert No.7 in D major Kv.271a (Szeryng);1/6;Classical;1966;708;Henryk Szeryng - 01 - Mozart - Concert No.7 in D major Kv.271a - 1, Allegro maestoso.mp3;
Pap's Blues;Herb Ellis;(1956) Nothing But the Blues (with Eldrige - Getz - Gillespie - Hawkins);01;Jazz;1956;429;Herb Ellis - 01 - Pap's Blues.mp3;
Big Red's Boogie Woogie;Herb Ellis;(1956) Nothing But the Blues (with Eldrige - Getz - Gillespie - Hawkins);02;Jazz;1956;342;Herb Ellis - 02 - Big Red's Boogie Woogie.mp3;
Mascagni - Intermezzo Sinfonico;Herbert Von Karajan;Romantic Karajan;1/12;Classical;1984;216;Herbert Von Karajan - 01 - Mascagni - Intermezzo Sinfonico.mp3;
Offenbach - Barcarolle;Herbert Von Karajan;Romantic Karajan;2/12;Classical;1984;217;Herbert Von Karajan - 02 - Offenbach - Barcarolle.mp3;
La Mer II;Herbert Von Karajan;Karajan Festival Vol.3;3/6;Classical;1965;373;Herbert Von Karajan - 03 - La Mer II.mp3;
Tchaikovsky - Love Theme;Herbert Von Karajan;Romantic Karajan;3/12;Classical;1984;214;Herbert Von Karajan - 03 - Tchaikovsky - Love Theme.mp3;
Chopin - Nocturne;Herbert Von Karajan;Romantic Karajan;4/12;Classical;1984;359;Herbert Von Karajan - 04 - Chopin - Nocturne.mp3;
La Mer III;Herbert Von Karajan;Karajan Festival Vol.3;4/6;Classical;1965;480;Herbert Von Karajan - 04 - La Mer III.mp3;
Mozart - Romance;Herbert Von Karajan;Romantic Karajan;5/12;Classical;1984;337;Herbert Von Karajan - 05 - Mozart - Romance.mp3;
Smetana - The Moldau;Herbert Von Karajan;Romantic Karajan;6/12;Classical;1984;746;Herbert Von Karajan - 06 - Smetana - The Moldau.mp3;
Rimsky-Korsakov - The Young Prince And The Young Princess;Herbert Von Karajan;Romantic Karajan;7/12;Classical;1984;643;Herbert Von Karajan - 07 - Rimsky-Korsakov - The Young Prince And The Young Princess.mp3;
Delibes - Ballad;Herbert Von Karajan;Romantic Karajan;8/12;Classical;1984;175;Herbert Von Karajan - 08 - Delibes - Ballad.mp3;
Grieg - Sarabande;Herbert Von Karajan;Romantic Karajan;9/12;Classical;1984;262;Herbert Von Karajan - 09 - Grieg - Sarabande.mp3;
Dvorak - Moderato;Herbert Von Karajan;Romantic Karajan;10/12;Classical;1984;312;Herbert Von Karajan - 10 - Dvorak - Moderato.mp3;
Bizet - Entr'Acte from Carmen;Herbert Von Karajan;Romantic Karajan;11/12;Classical;1984;166;Herbert Von Karajan - 11 - Bizet - Entr'Acte from Carmen.mp3;
Wagner - Isoldes Liebestod;Herbert Von Karajan;Romantic Karajan;12/12;Classical;1984;441;Herbert Von Karajan - 12 - Wagner - Isoldes Liebestod.mp3;
The Machine;Herzog & Aurich;Various Artists #1;6;Electronic;2020;383;Herzog & Aurich - 06 - The Machine.mp3;
Mozart Concerto No.23 in A major, K.488 - I. Allegro;Horowitz;Mozart Concerto No.23 in A major, K.488 (Horowitz);1/6;Classical;1987;622;Horowitz - 01 - Mozart Concerto No.23 in A major, K.488 - I. Allegro.mp3;
Moanin' at Midnight (Original Mix);Howlin' Wolf;The Magic of Rhythm and Blues, Vol. 1;15;Blues;2021;176;Howlin' Wolf - 15 - Moanin' at Midnight (Original Mix).mp3;
Smokestack Lightnin' (Original Mix);Howlin' Wolf;The Magic of Rhythm and Blues, Vol. 1;21;Blues;2021;188;Howlin' Wolf - 21 - Smokestack Lightnin' (Original Mix).mp3;
The Red Rooster (Original Mix);Howlin' Wolf;The Magic of Rhythm and Blues, Vol. 1;28;Blues;2021;148;Howlin' Wolf - 28 - The Red Rooster (Original Mix).mp3;
Take Me To Church;Hozier, Fiachra Kinder;100 Greatest Modern Pop Songs;28;Pop;2020;242;Hozier, Fiachra Kinder - 28 - Take Me To Church.mp3;
Loosely (Original Mix);Ike Turner, The Kings of Rhythm;The Magic of Rhythm and Blues, Vol. 1;13;Rhythm n Blues;2021;151;Ike Turner, The Kings of Rhythm - 13 - Loosely (Original Mix).mp3;
I Wrote This for the Kid;Illinois Jacquet;with Ben Webster - The Kid and the Brute;01;Jazz;1954;713;Illinois Jacquet - 01 - I Wrote This for the Kid.mp3;
Saph;Illinois Jacquet;with Ben Webster - The Kid and the Brute;02;Jazz;1954;162;Illinois Jacquet - 02 - Saph.mp3;
Don't You Worry 'Bout A Thing;Incognito ;The Ultimate Collection Soul 100 Hits CD04;7;Soul;2008;247;Incognito  - 07 - Don't You Worry 'Bout A Thing.mp3;
Mahler: Symphony #1 In D Minor, "Titan" - 1. Langsam Schleppend;Israel Philharmonic Orchestra;Mahler: Symphony #1;1/5;Classical;1986;952;Israel Philharmonic Orchestra - 01 - Mahler Symphony #1 In D Minor, Titan - 1. Langsam Schleppend.mp3;
Mahler: Blumine;Israel Philharmonic Orchestra;Mahler: Symphony #1;2/5;Classical;1986;441;Israel Philharmonic Orchestra - 02 - Mahler Blumine.mp3;
Chausson - Concerto pour violon, piano - I.Decide;Itzhak Perlman;Chausson - Concert for Violin, Piano & String Quartet, OP21 (Perlman);1/4;Classical;1983;906;Itzhak Perlman - 01 - Chausson - Concerto pour violon, piano - I.Decide.mp3;
Vivaldi, Concerto for Three Violins, F. 1, No. 34 - 1.Allegro;Itzhak Perlman;Vivaldi, Concerto for Three Violins, F. 1, RV.551 (Perlman,Zukerman,Stern);01/9;Classical;1980;286;Itzhak Perlman - 01 - Vivaldi, Concerto for Three Violins, F. 1, No. 34 - 1.Allegro.mp3;
I'm Takin' My Time With You;Jack Teagarden;1939-1940 {Chronological Classics, 758};1/23;Swing;1939;181;Jack Teagarden - 01 - I'm Takin' My Time With You.mp3;
I Wanna Hat With Cherries;Jack Teagarden;1939-1940 {Chronological Classics, 758};2/23;Swing;1939;175;Jack Teagarden - 02 - I Wanna Hat With Cherries.mp3;
Say You Won't Let Go;James Arthur;100 Greatest Modern Pop Songs;40;Soft Rock;2020;211;James Arthur - 40 - Say You Won't Let Go.mp3;
Hold Back The River;James Bay, Eli Beaird, Ian Fitchuk;100 Greatest Modern Pop Songs;30;Pop;2020;240;James Bay, Eli Beaird, Ian Fitchuk - 30 - Hold Back The River.mp3;
 It's A Man's, Man's, Man's World;James Brown ;The Ultimate Collection Soul 100 Hits CD01;3;Soul;2008;167;James Brown  - 03 -  It's A Man's, Man's, Man's World.mp3;
I Got You (I Feel Good);James Brown;20 All Time Greatest Hits!;1/20;Rhythm n Blues;1965;167;James Brown - 01 - I Got You (I Feel Good).mp3;
Try Me;James Brown;Live at The Apollo;3/11;Rhythm n Blues;1963;134;James Brown - 03 - Try Me.mp3;
Think (Original Mix);James Brown;The Magic of Rhythm and Blues, Vol. 1;05;Rhythm n Blues;2021;171;James Brown - 05 - Think (Original Mix).mp3;
Papa's Got A Brand New Bag (Pt. 1);James Brown;20 All Time Greatest Hits!;7/20;Rhythm n Blues;1965;127;James Brown - 07 - Papa's Got A Brand New Bag (Pt. 1).mp3;
Think;James Brown;20 All Time Greatest Hits!;8/20;Rhythm n Blues;1960;166;James Brown - 08 - Think.mp3;
Please, Please, Please;James Brown;20 All Time Greatest Hits!;20/20;Rhythm n Blues;1956;165;James Brown - 20 - Please, Please, Please.mp3;
Blame It;Jamie Foxx Ft. T-Pain;;65;Pop;2008;291;Jamie Foxx Ft. T-Pain - 65 - Blame It.mp3;
Clouds (Original Mix);Jane Maximova;Chill out Magnifique, Vol. 1;3;Electronic Chill;2019-10-25;349;Jane Maximova - 03 - Clouds (Original Mix).mp3;
Marvin Gaye;Jason Chen, Marié Digby;100 Greatest Modern Pop Songs;56;Soul;2020;185;Jason Chen, Marié Digby - 56 - Marvin Gaye.mp3;
Want to Want Me;Jason Derulo;100 Greatest Modern Pop Songs;38;Pop;2020;208;Jason Derulo - 38 - Want to Want Me.mp3;
You Don't Know Me;Jax Jones, Raye;100 Greatest Modern Pop Songs;49;Pop;2020;214;Jax Jones, Raye - 49 - You Don't Know Me.mp3;
Hallelujah;Jeff Buckley;100 Hits - The Best - Soft Rock Album - CD5;11/20;Soft Rock;2018;256;Jeff Buckley - 11 - Hallelujah.mp3;
On The Wings Of Love;Jeffery Osborne ;The Ultimate Collection Soul 100 Hits CD02;5;Soul;2008;247;Jeffery Osborne  - 05 - On The Wings Of Love.mp3;
Spotlight;Jennifer Hudson;;084;Pop;2009;250;Jennifer Hudson - 84 - Spotlight.mp3;
Let's Get Serious;Jermaine Jackson ;The Ultimate Collection Soul 100 Hits CD05;13;Soul;2008;211;Jermaine Jackson  - 13 - Let's Get Serious.mp3;
Don't Be so Hard on Yourself;Jess Glynne;100 Greatest Modern Pop Songs;45;Pop;2020;211;Jess Glynne - 45 - Don't Be so Hard on Yourself.mp3;
Leavin;Jesse McCartney;;047;Pop;;215;Jesse McCartney - 47 - Leavin.mp3;
How Do You Sleep;Jesse McCartney ft. Ludacris;;053;Pop;2009;209;Jesse McCartney ft. Ludacris - 53 - How Do You Sleep.mp3;
Bang Bang;Jessie J, Ariana Grande, Nicki Minaj;100 Greatest Modern Pop Songs;13;Pop;2020;199;Jessie J, Ariana Grande, Nicki Minaj - 13 - Bang Bang.mp3;
Pop Champagne;Jim Jones & Ron Browz ft. Juelz Santana;;052;Pop;2009;217;Jim Jones & Ron Browz ft. Juelz Santana - 52 - Pop Champagne.mp3;
Bleeding heart [rec. at Record Plant Studios, NY 02.05.68];Jimi Hendrix;(1972) War Heroes;01;Rock;1972;197;Jimi Hendrix - 01 - Bleeding heart [rec. at Record Plant Studios, NY 02.05.68].mp3;
Tax free [rec. at Record Plant Studios, NY 01.05.68];Jimi Hendrix;(1972) War Heroes;03;Rock;1972;301;Jimi Hendrix - 03 - Tax free [rec. at Record Plant Studios, NY 01.05.68].mp3;
Gone;Jimmie Lunceford;Jimmie Lunceford (1940,41);18/23;Swing;1941;190;Jimmie Lunceford - 18 - Gone.mp3;
Hi Spook;Jimmie Lunceford;Jimmie Lunceford (1940,41);19/23;Swing;1941;178;Jimmie Lunceford - 19 - Hi Spook.mp3;
Honest I Do;Jimmy Reed;Blues Classics - 100 Greatest Hits;9;Blues;2001;168;Jimmy Reed - 09 - Honest I Do.mp3;
Hush, Hush;Jimmy Reed;Blues Classics - 100 Greatest Hits;13;Blues;;160;Jimmy Reed - 13 - Hush, Hush.mp3;
 It's Wonderful;Jimmy Ruffin ;The Ultimate Collection Soul 100 Hits CD01;13;Soul;2008;165;Jimmy Ruffin  - 13 -  It's Wonderful.mp3;
When the Lights Go Out (Original Mix);Jimmy Witherspoon;The Magic of Rhythm and Blues, Vol. 1;30;Rhythm n Blues;2021;172;Jimmy Witherspoon - 30 - When the Lights Go Out (Original Mix).mp3;
Silver Dagger;Joan Baez;The Greenwich Village Folk Scene CD3;1/20;Folk;2014;148;Joan Baez - 01 - Silver Dagger.mp3;
Wildwood Flower;Joan Baez;The Greenwich Village Folk Scene CD2;3/20;Folk;2014;156;Joan Baez - 03 - Wildwood Flower.mp3;
House Of The Rising Sun;Joan Baez;The Greenwich Village Folk Scene CD1;4;Folk;2014;177;Joan Baez - 04 - House Of The Rising Sun.mp3;
Careless Love;Joan Baez & Bill Wood;The Greenwich Village Folk Scene CD3;17/20;Folk;2014;147;Joan Baez & Bill Wood - 17 - Careless Love.mp3;
Joy Spring;Joe Pass;(1964) Joy Spring;01/5;Jazz;1964;527;Joe Pass - 01 - Joy Spring.mp3;
Get Way Back (Original Mix);Joe Tex;The Magic of Rhythm and Blues, Vol. 1;24;Rhythm n Blues;2021;145;Joe Tex - 24 - Get Way Back (Original Mix).mp3;
Blue Train;John Coltrane;(1957) Blue Train;01;Jazz;1957;642;John Coltrane - 01 - Blue Train.mp3;
Giant Steps;John Coltrane;(1959) Giant Steps;01;Jazz;1959;288;John Coltrane - 01 - Giant Steps.mp3;
Say It (Over And Over Again);John Coltrane;(1962) Ballads;01;Jazz;1962;256;John Coltrane - 01 - Say It (Over And Over Again).mp3;
After The Crescent;John Coltrane;(1965) Impulse;02;Jazz;1965;821;John Coltrane - 02 - After The Crescent.mp3;
Boom Boom;John Lee Hooker;Blues Classics - 100 Greatest Hits;1;Blues;2001;151;John Lee Hooker - 01 - Boom Boom.mp3;
I'm In The Mood;John Lee Hooker;The Healer;2;Blues;1989;268;John Lee Hooker - 02 - I'm In The Mood.mp3;
Baby Lee;John Lee Hooker;The Healer;3;Blues;1989;223;John Lee Hooker - 03 - Baby Lee.mp3;
Dimples;John Lee Hooker;Blues Classics - 100 Greatest Hits;7;Blues;1998;136;John Lee Hooker - 07 - Dimples.mp3;
Hobo Blues;John Lee Hooker;Blues Classics - 100 Greatest Hits;7;Blues;2001;119;John Lee Hooker - 07 - Hobo Blues.mp3;
Rockin' Chair;John Lee Hooker;The Healer;8;Blues;1989;246;John Lee Hooker - 08 - Rockin' Chair.mp3;
Leave My Wife Alone (Original Mix);John Lee Hooker;The Magic of Rhythm and Blues, Vol. 1;09;Blues;2021;167;John Lee Hooker - 09 - Leave My Wife Alone (Original Mix).mp3;
Process;John Lee Hooker;Blues Classics - 100 Greatest Hits;16;Blues;2001;219;John Lee Hooker - 16 - Process.mp3;
Green Light ;John Legend ft. Andre 3000;;34;Pop;2009;278;John Legend ft. Andre 3000 - 34 - Green Light .mp3;
Blues For Madeleine;Johnny Hodges;(1965) Blue Pyramid (with Wild Bill Davis);01/15;Jazz;1965;292;Johnny Hodges - 01 - Blues For Madeleine.mp3;
Flamingo;Johnny Hodges;(1944-1950) Chronological;01/22;Swing;1944;280;Johnny Hodges - 01 - Flamingo.mp3;
Time on my Hands;Johnny Hodges;(1944-1950) Chronological;02/22;Swing;1944;262;Johnny Hodges - 02 - Time on my Hands.mp3;
Night and Day;Johnny Hodges;(1944-1950) Chronological;03/22;Swing;1944;269;Johnny Hodges - 03 - Night and Day.mp3;
Push;Johnny Lectro;Winter Collection 2017;06/19;Electronic;2017;363;Johnny Lectro - 06 - Push.mp3;
Fast Car;Jonas Blue, Dakota;100 Greatest Modern Pop Songs;23;Pop;2020;212;Jonas Blue, Dakota - 23 - Fast Car.mp3;
Little Brown Dog;Judy Collins;The Greenwich Village Folk Scene CD2;6/20;Folk;2014;196;Judy Collins - 06 - Little Brown Dog.mp3;
Golden Apples Of The Sun;Judy Collins;The Greenwich Village Folk Scene CD3;11/20;Folk;2014;233;Judy Collins - 11 - Golden Apples Of The Sun.mp3;
Fannerio;Judy Collins;The Greenwich Village Folk Scene CD1;13;Folk;2014;188;Judy Collins - 13 - Fannerio.mp3;
Sorry;Justin Bieber;100 Greatest Modern Pop Songs;01;Pop;2020;201;Justin Bieber - 01 - Sorry.mp3;
CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS");Justin Timberlake;100 Greatest Modern Pop Songs;14;Pop;2020;236;Justin Timberlake - 14 - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS).mp3;
Drunken Dance;Kalletti Klub;Winter Collection 2017;03/19;Electronic;2017;377;Kalletti Klub - 03 - Drunken Dance.mp3;
People of the South Wind;Kansas;(1979) Monolith;2/8;Rock;1979;221;Kansas - 02 - People of the South Wind.mp3;
Dust In The Wind;Kansas;100 Hits - The Best - Soft Rock Album - CD2;17/20;Soft Rock;2018;206;Kansas - 17 - Dust In The Wind.mp3;
Brahms - Symphony No.1 in C minor - I. Un poco sostenuto, Allegro;Karajan;Brahms - Symphony No.1 in C minor;1;Classical;;795;Karajan - 01 - Brahms - Symphony No.1 in C minor - I. Un poco sostenuto, Allegro.mp3;
Brahms - Symphony No.1 in C minor - II. Andante sostenuto;Karajan;Brahms - Symphony No.1 in C minor;2;Classical;;537;Karajan - 02 - Brahms - Symphony No.1 in C minor - II. Andante sostenuto.mp3;
Schubert - Symphony no. 6 in C major - 1 Adagio - Allegro;Karl Bohm;Schubert Symphony no. 6 in C major;21/8;Classical;1973;482;Karl Bohm - 21 - Schubert - Symphony no. 6 in C major - 1 Adagio - Allegro.mp3;
Schubert - Symphony no. 6 in C major - 2 Andante;Karl Bohm;Schubert Symphony no. 6 in C major;22/8;Classical;1973;361;Karl Bohm - 22 - Schubert - Symphony no. 6 in C major - 2 Andante.mp3;
Schubert - Symphony no. 6 in C major - 3 Scherzo, Presto - Piщ lento;Karl Bohm;Schubert Symphony no. 6 in C major;23/8;Classical;1973;419;Karl Bohm - 23 - Schubert - Symphony no. 6 in C major - 3 Scherzo, Presto - Piщ lento.mp3;
Schubert - Symphony no. 6 in C major - 4 Allegro moderato;Karl Bohm;Schubert Symphony no. 6 in C major;24/8;Classical;1973;613;Karl Bohm - 24 - Schubert - Symphony no. 6 in C major - 4 Allegro moderato.mp3;
No.40 in G minor, KV.550 - 2. Andante;Karl Bohm - Berlin Philharmonic;Mozart - Symphony Nos.39-41 etc.;6/12;Classical;;485;Karl Bohm - Berlin Philharmonic - 06 - No.40 in G minor, KV.550 - 2. Andante.mp3;
How Bout Us;Katalyst feat. Steve Spacek ;The Ultimate Collection Soul 100 Hits CD04;19;Soul;2008;209;Katalyst feat. Steve Spacek  - 19 - How Bout Us.mp3;
Roar;Katy Perry;100 Greatest Modern Pop Songs;11;Pop;2020;224;Katy Perry - 11 - Roar.mp3;
Hot N Cold  A Little Bit Longer;Katy Perry;;016;Pop;2009;220;Katy Perry - 16 - Hot N Cold  A Little Bit Longer.mp3;
Thinking Of You;Katy Perry;;025;Pop;2008;247;Katy Perry - 25 - Thinking Of You.mp3;
All My Life;K-Ci & JoJo ;The Ultimate Collection Soul 100 Hits CD04;2;Soul;2008;219;K-Ci & JoJo  - 02 - All My Life.mp3;
My Life Would Suck Without You ;Kelly Clarkson;;004;Pop;;211;Kelly Clarkson - 04 - My Life Would Suck Without You .mp3;
This Time the Dream's on Me;Kenny Burrell;(1956) Introducing Kenny Burrell;02/9;Jazz;1956;300;Kenny Burrell - 02 - This Time the Dream's on Me.mp3;
Turning Me On;Keri Hilson ft.  Lil Wayne;;50;Pop;;254;Keri Hilson ft.  Lil Wayne - 50 - Turning Me On.mp3;
Let It Rock;Kevin Rudolf ft.  Lil Wayne;;013;Pop;2009;232;Kevin Rudolf ft.  Lil Wayne - 13 - Let It Rock.mp3;
La Raza;Kid Frost;East vs. West: Rap Battle Royale;04/10;Hip Hop;1991;209;Kid Frost - 04 - La Raza.mp3;
Heroic Ones (feat. Ghostface Killah);Killah Priest;The Academy 3;02/34;Hip Hop;2021;194;Killah Priest - 02 - Heroic Ones (feat. Ghostface Killah).mp3;
Act A Fool;King Tee;East vs. West: Rap Battle Royale;08/10;Hip Hop;1991;260;King Tee - 08 - Act A Fool.mp3;
Shostakovich -  Symphony No. 4 in C minor, Op. 43 I. Allegro poco moderato;Kondrashin;Shostakovich -  Symphony No. 4 in C minor  Op 43;01/3;Classical;1962;1535;Kondrashin - 01 - Shostakovich -  Symphony No. 4 in C minor, Op. 43 I. Allegro poco moderato.mp3;
Shostakovich -  Symphony No. 4 in C minor, Op. 43 II. Moderato con moto;Kondrashin;Shostakovich -  Symphony No. 4 in C minor  Op 43;02/3;Classical;1962;501;Kondrashin - 02 - Shostakovich -  Symphony No. 4 in C minor, Op. 43 II. Moderato con moto.mp3;
Shostakovich -  Symphony No. 4 in C minor, Op. 43 III. Largo. Allegro;Kondrashin;Shostakovich -  Symphony No. 4 in C minor  Op 43;03/3;Classical;1962;1556;Kondrashin - 03 - Shostakovich -  Symphony No. 4 in C minor, Op. 43 III. Largo. Allegro.mp3;
Hard Reset;Konnekt (UK);Various Artists #2;10;Electronic;2021;465;Konnekt (UK) - 10 - Hard Reset.mp3;
Too Hot;Kool & The Gang ;The Ultimate Collection Soul 100 Hits CD05;6;Soul;2008;223;Kool & The Gang  - 06 - Too Hot.mp3;
Notorious;Kool Rock Jay And D.J. Slice;East vs. West: Rap Battle Royale;09/10;Hip Hop;1991;222;Kool Rock Jay And D.J. Slice - 09 - Notorious.mp3;
DJ unknown face - Dat's cool;Kruder & Dorfmeister;Conversions - A K&D Selection;1/10;Electronic Chill;1996;375;Kruder & Dorfmeister - 01 - DJ unknown face - Dat's cool.mp3;
Herbalizer - A Mother;Kruder & Dorfmeister;DJ-Kicks - Kruder & Dorfmeister;01;Electronic Chill;1996;316;Kruder & Dorfmeister - 01 - Herbalizer - A Mother.mp3;
Dead Calm - Searchin';Kruder & Dorfmeister;Conversions - A K&D Selection;2/10;Electronic Chill;1996;464;Kruder & Dorfmeister - 02 - Dead Calm - Searchin'.mp3;
Small World - Livin' Free;Kruder & Dorfmeister;DJ-Kicks - Kruder & Dorfmeister;02;Electronic Chill;1996;309;Kruder & Dorfmeister - 02 - Small World - Livin' Free.mp3;
Tango - Spellbound;Kruder & Dorfmeister;DJ-Kicks - Kruder & Dorfmeister;03;Electronic Chill;1996;240;Kruder & Dorfmeister - 03 - Tango - Spellbound.mp3;
